Date,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar
3/22/1999,8.676,-1.605,0.40683771,2.4468057,0.83031868,12.086328
3/23/1999,6.558,3.062,2.76374847,3.53170071,0.88394715,4.25227444
3/24/1999,4.09,-0.034,1.81274418,4.24333512,0.83605841,7.3416924
3/25/1999,14.563,1.201,0.38623811,3.60327069,0.77388951,14.7566272
3/26/1999,17.403,5.671,0.03089906,4.87636672,0.72470129,17.1856139
3/27/1999,18.656,8.411,3.51390461,3.75810859,0.7982972,15.4082802
3/28/1999,16,7.501,0.33988926,2.74659299,0.85834612,11.6850973
3/29/1999,15.331,8.264,0.51841792,2.37945202,0.77374307,13.5167138
3/30/1999,14.274,6.943,0.05836485,2.55627913,0.78989017,12.596517
3/31/1999,16.057,4.826,0,2.34184125,0.76637238,17.4923995
4/1/1999,16.457,5.049,0,3.00731977,0.68370143,19.5748866
4/2/1999,16.377,6.157,0.03433228,3.52474449,0.64476881,16.7542308
4/3/1999,14.42,4.771,0.30212401,2.41734826,0.82265198,9.38913721
4/4/1999,16.86,1.344,0.30384064,2.19896721,0.67599022,19.645204
4/5/1999,15.112,5.601,0.15106201,2.27677128,0.66983756,18.6734807
4/6/1999,12.81,4.786,2.38952664,3.82539917,0.90041573,7.6073121
4/7/1999,13.339,9.016,1.32522582,3.82663231,0.84357318,5.97054672
4/8/1999,11.139,5.07,0.32787336,2.88432536,0.80253459,6.02999863
4/9/1999,13.69,5.33,0.46005256,3.22958916,0.78427867,13.9294186
4/10/1999,11.484,6.081,1.30462691,3.30675445,0.90840579,3.35610079
4/11/1999,13.371,9.157,6.30169164,2.3575053,0.91375884,4.97373649
4/12/1999,10.278,5.169,1.84192719,3.71958755,0.71168566,11.593463
4/13/1999,17.048,7.265,4.14390452,3.13140087,0.70782708,16.3854036
4/14/1999,12.323,4.24,1.90887634,3.59645069,0.72378386,13.9774521
4/15/1999,18.348,3.745,0.10299675,5.65568215,0.5304449,18.688388
4/16/1999,19.559,11.801,1.12266546,3.71802976,0.64404221,13.2316367
4/17/1999,14.586,4.737,18.5342788,5.7650466,0.87414494,3.32234821
4/18/1999,8.909,2.928,3.76968183,4.32753753,0.75870536,9.60946912
4/19/1999,4.942,1.576,14.9517097,4.26345924,nan,2.97146268
4/20/1999,3.578,1.091,32.6894832,5.02883394,0.98326328,1.9308378
4/21/1999,9.06,2.376,3.30276632,4.0060001,0.93771661,12.6536077
4/22/1999,9.728,5.434,6.00128568,3.64178908,0.94499791,4.78180944
4/23/1999,16.508,7.143,2.19383227,1.80480635,0.91814241,14.3524164
4/24/1999,17.759,8.158,3.62548962,2.87110466,0.86930279,14.9704877
4/25/1999,12.999,8.487,nan,2.93865091,0.91273406,9.57313116
4/26/1999,17.654,7.727,7.34710611,3.12561018,0.90140876,11.6530326
4/27/1999,17.12,11.066,7.17201087,3.07074394,0.87686947,16.7033809
4/28/1999,18.597,11.147,5.05714248,1.63993541,0.89015524,15.0232463
4/29/1999,14.069,4.928,0.98190324,4.23507292,0.84129173,10.4155881
4/30/1999,13.16,0.817,0,2.76987025,0.65674229,25.8885003
5/1/1999,15.857,6.489,0.10299684,3.85731795,0.72324364,18.5726755
5/2/1999,14.078,4.49,0,2.66989362,0.62817689,25.2705931
5/3/1999,15.716,2.305,0,1.25791697,0.5549745,25.7262243
5/4/1999,13.491,3.3,0.32787336,3.39137315,0.58965839,26.4082443
5/5/1999,12.888,0.861,0,3.11178666,0.54338004,26.7279783
5/6/1999,13.781,0.616,0,1.59094676,0.5259002,26.9272104
5/7/1999,16.015,0.822,0,1.53641709,0.50508036,27.0552349
5/8/1999,16.782,5.143,0.15792866,1.26775669,0.61864614,16.2269446
5/9/1999,12.3,4.946,20.5101014,2.39603335,0.92918884,6.29319493
5/10/1999,20.615,6.063,0.2695087,2.84910241,0.75717032,18.0721665
5/11/1999,15.845,7.623,6.7274082,5.05045975,0.81154112,17.1164274
5/12/1999,13.873,3.882,0.04806519,2.19417784,0.68108631,17.4299643
5/13/1999,13.029,5.429,11.4223437,2.88083008,0.86043335,6.24020644
5/14/1999,15.149,6.409,3.1190887,1.69282197,0.89442309,13.9303113
5/15/1999,12.444,4.341,5.15671012,2.47295489,0.88239711,10.8189532
5/16/1999,10.901,2.669,1.73206355,3.19303768,0.87734811,10.9299394
5/17/1999,15.402,3.515,0,2.91543248,0.68285451,24.6744021
5/18/1999,16.135,6.465,0,2.2466598,0.59613517,25.5224201
5/19/1999,20.529,3.778,0,1.08402395,0.61133482,28.077914
5/20/1999,22.548,7.522,0,2.52650735,0.55147049,28.5748302
5/21/1999,24.848,12.933,0,4.44695774,0.55311555,27.1184686
5/22/1999,24.413,13.257,1.6119,2.36905767,0.6900203,27.3442502
5/23/1999,16.252,7.461,2.14405199,3.6319231,0.69636573,22.6487243
5/24/1999,20.922,nan,0,1.10893182,0.64105387,27.1949104
5/25/1999,21.209,9.601,0,2.0431163,0.58273868,23.9223939
5/26/1999,18.671,7.813,0.51155069,3.16733859,0.63925756,24.5068856
5/27/1999,20.59,6.107,0,1.48293362,0.67200672,28.5068811
5/28/1999,25.164,5.964,0,0.94090825,0.61686321,28.4632257
5/29/1999,26.68,12.786,0.07209779,2.21215126,0.53129489,28.6135825
5/30/1999,27.185,14.821,2.76546488,2.50564631,0.7003791,22.3932351
5/31/1999,19.267,11.951,1.34754253,2.40136421,nan,17.9437492
6/1/1999,21.27,11.444,0.05149839,2.27627429,0.55578639,28.5346753
6/2/1999,20.582,10.868,0,1.35532901,0.65954995,19.9671786
6/3/1999,26.707,10.882,3.75766668,2.80584628,0.70054605,23.9915217
6/4/1999,24.727,13.039,1.46255346,1.69660973,0.71469562,28.2620331
6/5/1999,25.211,14.277,0.90637178,1.41315402,0.74237994,20.8185706
6/6/1999,27.421,14.162,0,3.26578397,0.615443,28.5429442
6/7/1999,24.811,16.255,0.36048887,2.42171779,0.71356732,18.5065903
6/8/1999,29.125,15.05,0.09698864,2.50941761,0.64442844,19.6356907
6/9/1999,20.453,11.801,2.61611784,2.77379574,0.77588731,13.4530247
6/10/1999,20.111,13.199,0,1.88473143,0.61098949,8.2559241
6/11/1999,25.712,14.089,13.7990019,2.3936355,0.78324533,24.6354188
6/12/1999,30.467,17.538,2.9251116,1.81359869,0.72555777,16.6520223
6/13/1999,24.026,14.918,3.0100851,1.99766339,0.83022274,nan
6/14/1999,26.518,16.778,5.29060107,1.17829295,0.85575372,19.8158596
6/15/1999,24.191,17.446,3.93791011,1.78508928,0.85682959,21.4292241
6/16/1999,24.785,17.797,6.74628912,2.52432109,0.84238379,18.2829931
6/17/1999,21.623,17.069,16.1129868,nan,0.93855758,10.8668268
6/18/1999,21.914,15.353,2.62212724,2.96993527,0.87608716,16.5619677
6/19/1999,26.047,14.822,0.79135905,1.88982088,0.82360572,21.3197662
6/20/1999,25.374,14.848,1.47113765,1.685204,0.78357926,26.8022779
6/21/1999,24.464,14.671,6.43386477,2.30380126,0.77765503,25.4939073
6/22/1999,15.473,11.714,12.0008496,4.95982214,0.94284575,4.75953489
6/23/1999,11.354,9.498,10.0868281,4.89318661,0.95020573,2.99109313
6/24/1999,15.233,8.955,2.51569857,1.96733609,0.86629342,9.40606749
6/25/1999,18.106,8.756,1.43337267,1.7876139,0.81195184,26.7002486
6/26/1999,22.333,7.973,0.02403259,1.73741047,0.70114051,27.4865622
6/27/1999,25.982,13.591,0,3.33558062,0.55234591,29.3182866
6/28/1999,28.632,14.638,0,2.3970857,0.55759297,29.5330466
6/29/1999,23.864,14.749,0.33731488,3.01894168,0.69468206,22.5248584
6/30/1999,25.012,12.753,0,1.5667423,0.66852335,28.5993587
7/1/1999,26.456,12.781,0,1.42763458,0.60376566,28.3271041
7/2/1999,24.243,15.555,4.18510252,2.56547966,0.74634099,28.1267986
7/3/1999,25.893,13.108,0.21285995,1.62798882,0.71922898,25.2872431
7/4/1999,30.592,16.645,0,2.72428316,0.60793678,28.3681726
7/5/1999,33.475,19.861,1.00593594,2.63540585,0.52683371,28.4202001
7/6/1999,32.95,20.584,0,3.1160264,0.5125019,nan
7/7/1999,25.563,18.585,5.10177877,2.58315926,0.74455693,19.2658494
7/8/1999,21.61,17.019,0.86517326,3.25983327,0.76540779,15.8184483
7/9/1999,25.792,15.664,2.85988212,4.36259157,0.77378953,15.5835066
7/10/1999,26.223,16.447,0,4.43317828,0.48726837,28.9554281
7/11/1999,27.605,15.268,0,3.67561653,0.45448373,29.0729318
7/12/1999,29.82,16.963,0,3.49761321,0.44561245,28.2453154
7/13/1999,30.779,18.706,0.81367488,3.0790213,0.53421559,18.2377712
7/14/1999,23.854,17.836,20.9272334,3.45868324,nan,17.2178439
7/15/1999,21.23,15.388,14.980887,3.93177942,0.72551159,17.0713704
7/16/1999,nan,11.804,0.3913884,2.01320379,0.63440887,20.7483722
7/17/1999,23.969,11.822,0,1.50937322,0.59577373,24.5846224
7/18/1999,25.865,16.495,0.12016298,1.56418636,0.5616229,15.9969324
7/19/1999,28.57,17.98,0.2986907,2.18020801,0.53437908,19.8534991
7/20/1999,30.369,14.877,0,1.42534312,0.53774357,25.9115577
7/21/1999,29.84,18.132,0,2.88229912,0.54379025,22.0759225
7/22/1999,23.904,13.731,0.53558375,2.68728743,0.57976388,18.6140798
7/23/1999,22.829,9.92,2.78777895,1.35392425,0.71601568,10.4199136
7/24/1999,22.897,11.968,0.9544374,2.38820714,0.78155377,16.414307
7/25/1999,25.064,12.327,0,2.32685334,0.69197368,25.4855222
7/26/1999,27.796,11.388,0,1.78249985,0.65694183,25.5574161
7/27/1999,24.861,16.092,0.00686645,2.81122717,0.57316131,18.0560273
7/28/1999,24.262,14.518,0.32272329,2.63532178,0.56778298,18.4062948
7/29/1999,24.28,15.743,0,3.03674802,0.45033989,21.5904913
7/30/1999,26.559,13.38,0,3.5018412,0.46703175,26.6126086
7/31/1999,27.426,15.604,0,3.76147447,0.38778933,26.1573772
8/1/1999,26.089,14.994,0,3.05208612,0.39545691,25.3163801
8/2/1999,27.089,12.979,0,2.42325165,0.41459292,22.0555143
8/3/1999,29.528,10.133,0,1.15637414,0.45952536,21.5521252
8/4/1999,30.235,8.245,0,1.08838246,0.46352538,19.6260781
8/5/1999,30.649,16.845,0,1.33164501,0.3684752,19.6621848
8/6/1999,29.827,16.999,0,1.83929003,0.45767831,16.1646173
8/7/1999,30.022,15.096,0,2.05957148,0.48336283,23.5715072
8/8/1999,26.144,14.456,nan,1.83146151,0.73895167,16.1664247
8/9/1999,31.609,17.791,0.21286015,2.94787603,0.60808507,16.9230947
8/10/1999,29.931,13.615,6.21414396,2.00214555,0.69739549,16.1665283
8/11/1999,25.634,16.031,12.5003862,3.00138097,0.8394547,14.181244
8/12/1999,23.408,14.757,0,3.13157135,0.57929761,19.2475163
8/13/1999,21.296,13.009,0.23689281,2.82382946,0.63810666,10.5584611
8/14/1999,20.607,8.976,0.38108793,3.08576826,0.73080899,14.9497297
8/15/1999,21.579,9.56,0.79650866,3.05833016,0.68438006,11.0198778
8/16/1999,20.673,13.483,0,3.88330546,0.50386645,12.8428819
8/17/1999,19.84,12.893,7.9599446,2.18480493,0.79456462,14.799714
8/18/1999,23.304,11.654,0.22315991,2.99914568,0.59517802,22.7401906
8/19/1999,23.54,15.072,5.23910592,4.25735511,0.66968918,14.0505744
8/20/1999,24.091,14.437,0,3.55614644,0.47009596,19.746733
8/21/1999,19.674,13.354,1.51748691,3.3300994,0.70341847,7.7457402
8/22/1999,nan,11.804,0.70724521,2.58749773,0.70780365,14.2842844
8/23/1999,22.098,9.855,0.0137329,1.71518405,0.5793745,21.1150722
8/24/1999,20.003,11.917,0,1.3149433,0.60236294,6.19239463
8/25/1999,22.098,9.45,0.08583066,2.07535545,0.61239497,22.3024
8/26/1999,22.488,9.835,0,3.02532971,0.53047367,22.216779
8/27/1999,24.034,12.053,0,3.31522332,nan,17.9783446
8/28/1999,25.146,13.397,1.30805989,1.99061114,0.63666779,10.8221642
8/29/1999,22.142,11.024,0.27809161,2.34157779,0.71623505,19.5761267
8/30/1999,24.032,10.689,0.15106183,1.30531095,0.690302,17.6306023
8/31/1999,23.465,14.36,0.56133276,1.39482546,0.60072073,10.7957295
9/1/1999,17.837,12.509,12.320136,2.93407915,0.8528412,8.85774942
9/2/1999,17.223,12.89,7.77282955,3.71977351,0.89932041,5.35331845
9/3/1999,24.079,13.515,0.36735606,2.7897687,0.69714754,15.272149
9/4/1999,23.445,9.709,0,3.49022411,0.50288567,20.6217533
9/5/1999,24.68,10.838,0,2.87529367,0.48964648,20.0352949
9/6/1999,24.279,12.053,0,2.50424082,0.48145658,19.7107875
9/7/1999,25.973,11.74,0,2.2865897,0.48186476,19.4178957
9/8/1999,27.026,10.138,0,1.9517212,0.53019647,18.9655821
9/9/1999,27.112,14.694,0,2.82651645,0.51266155,18.6501407
9/10/1999,25.759,13.05,0,2.58242009,0.58893766,18.49725
9/11/1999,25.073,12.529,0,2.44955783,0.59719066,18.5293662
9/12/1999,22.28,9.28,0,2.43720694,0.45068003,18.7444134
9/13/1999,19.548,7.432,0,2.93285013,0.50582378,18.4371237
9/14/1999,18.212,3.005,0,1.87759071,0.56331105,18.589953
9/15/1999,18.667,-0.569,0,1.45356207,0.57396737,18.4751377
9/16/1999,18.088,3.552,0,2.23421759,0.50009136,16.8786589
9/17/1999,19.685,5.305,0,2.35544516,0.51670657,14.4214885
9/18/1999,22.811,9.171,0,4.08818346,0.50424206,15.7195658
9/19/1999,21.16,13.203,0,5.39084879,0.60586708,11.602287
9/20/1999,23.981,11.721,0,6.35062613,0.58560448,16.0812018
9/21/1999,26.466,15.404,0.39310488,5.34983609,0.54365907,11.6271569
9/22/1999,22.887,14.495,0.55446645,2.85052034,0.61108037,10.75804
9/23/1999,26.259,13.574,0.04291534,2.11549488,0.55031377,11.6680511
9/24/1999,24.056,14.686,9.40704369,3.12062705,0.73391674,14.7840727
9/25/1999,23.77,12.114,0.9595872,2.14749018,0.70264419,13.3517208
9/26/1999,19.448,12.625,10.4249954,1.35437929,0.84479489,7.06601179
9/27/1999,20.906,14.929,9.16414581,3.8614148,0.67725561,12.9066187
9/28/1999,22.538,11.858,0,2.93072711,0.60422495,12.1785727
9/29/1999,18.925,13.276,0.43945376,2.88829371,0.71149812,8.23713166
9/30/1999,18.942,13.09,2.00242729,4.49234375,0.78406902,7.53345099
10/1/1999,18.233,12.725,0.8849144,5.06835414,0.66425799,5.53831147
10/2/1999,20.431,10.145,nan,4.34864916,0.58764766,13.4398771
10/3/1999,23.888,12.602,0,3.34235624,0.57567632,12.3415272
10/4/1999,16.071,9.556,1.82304408,2.53528909,0.78519694,4.05478261
10/5/1999,9.721,7.858,21.0885998,2.17375,0.93267686,1.16116794
10/6/1999,11.511,7.402,6.89220896,2.93870231,0.89787917,4.46720695
10/7/1999,11.285,7.568,1.76982912,2.82672791,0.87930151,2.7842625
10/8/1999,13.214,6.409,0.40168763,2.99187014,0.8169037,6.96397428
10/9/1999,12.643,8.879,5.37471795,5.50172612,0.82913619,3.11894928
10/10/1999,10.669,6.295,0.95443665,5.18623634,0.75576941,3.63532276
10/11/1999,13.45,4.142,2.35004415,3.68040934,0.93237521,1.45113804
10/12/1999,nan,8.274,0.88233912,4.93231085,0.79134807,4.71037338
10/13/1999,11.011,8.924,1.50203744,5.09493835,0.76138957,2.27773098
